,VariableName.sleep,VariableName.salt,nudge,time,user_id
0,11.278443629691676,0.9848357218083987,0,0,0
1,9.57686849594183,1.0,0,1,0
2,11.23341111586795,0.9902951672281722,0,2,0
3,10.142214865569839,0.9381585085618208,0,3,0
4,7.783255877743738,0.9651521884770188,0,4,0
5,9.920401315071645,1.0,0,5,0
6,10.966432194752077,0.9631814550729288,0,6,0
7,9.461749595392329,0.9301201476899718,0,7,0
8,8.344034408788689,0.8972342864120758,0,8,0
9,11.714827741199453,0.9570651868557437,0,9,0
10,9.325978044356479,0.9199080279408302,0,10,0
11,10.541542701799575,0.9018529035654288,0,11,0
12,9.551312065753695,0.9377744678836426,0,12,0
13,10.150954843826927,0.9570075390648828,0,13,0
14,9.559879626858647,1.0,1,14,0
15,12.0,0.9887980610200178,1,15,0
16,11.579816610331271,1.0,1,16,0
17,12.0,0.9674543563931874,1,17,0
18,10.501259613593247,0.9384682515395796,1,18,0
19,12.0,0.9500808822994775,1,19,0
20,11.632362397102252,1.0,1,20,0
21,11.617153287690574,0.9477207084564832,0,21,0
22,8.465923248855537,0.9149736837227479,0,22,0
23,10.79155094827621,0.9241064211310654,0,23,0
24,9.6856183265369,0.8577892105384921,0,24,0
25,9.499242297202802,0.7994880242282072,0,25,0
26,8.661487651627784,0.7466401258760859,0,26,0
27,8.277471524253963,0.8182278658235602,0,27,0
28,7.909337822171349,0.695386360937412,2,28,0
29,10.78172084768445,0.7312276309325666,2,29,0
30,9.834074166556809,0.7980543300101022,2,30,0
31,9.053147203190203,0.7856833871481765,2,31,0
32,10.419988834003542,0.7768164433553995,2,32,0
33,8.596281895473645,0.7758078515800253,2,33,0
34,11.02206858274487,0.7263594818662475,2,34,0
35,9.471109263033675,0.7329203938749005,0,35,0
36,11.376042032256903,0.782304587004709,0,36,0
37,9.774278263843676,0.7043220452736355,0,37,0
38,9.72952609337376,0.7050054609366683,0,38,0
39,8.932482594200314,0.7041059738669408,0,39,0
40,9.37918480725164,0.7620189745276209,0,40,0
41,8.494452756727146,0.7529897693299561,0,41,0
0,8.24048387289139,0.7733183277136261,0,0,1
1,9.772937082886433,0.8562148821175328,0,1,1
2,9.968576818514002,0.9670384460921035,0,2,1
3,10.27802486861231,0.8022400960766984,0,3,1
4,10.450561669717748,0.7820858368233303,0,4,1
5,8.871960776807187,0.8444691270826749,0,5,1
6,11.046888103271263,0.8106434662464844,0,6,1
7,8.507106842962882,0.8429585811276348,0,7,1
8,8.670067095259789,0.9042130034542317,0,8,1
9,8.253613873258473,0.7905077747283512,0,9,1
10,8.895725336877462,0.8229795848142911,0,10,1
11,11.263077435438882,0.8953522476951944,0,11,1
12,9.421096623007086,0.7866094314073979,0,12,1
13,10.177908358023442,0.7978704399794281,0,13,1
14,8.765233749857678,0.9324438094443739,1,14,1
15,11.464892366058944,0.950005025503219,1,15,1
16,12.0,0.980466162067844,1,16,1
17,11.348974406699853,0.9482878579107767,1,17,1
18,12.0,0.9598295167913079,1,18,1
19,11.3104502222498,0.9772233748241328,1,19,1
20,12.0,0.9823003044373259,1,20,1
21,9.648589241568587,0.942657967380503,0,21,1
22,7.962192475263375,0.9751806955860878,0,22,1
23,7.762544742033118,0.8550374089047744,0,23,1
24,8.94811627525314,0.8047073550397402,0,24,1
25,10.341864515605838,0.7154093471254519,0,25,1
26,8.969802381654322,0.7298817689038456,0,26,1
27,7.534658014563942,0.758009742841808,0,27,1
28,8.606144063779384,0.7770371727508305,2,28,1
29,9.69516004854915,0.8527895969441701,2,29,1
30,10.368145720196804,0.7322326397242926,2,30,1
31,8.96877811870511,0.8099623984252281,2,31,1
32,10.153045893159614,0.7900017431024976,2,32,1
33,8.078726641747005,0.7596796366497758,2,33,1
34,8.95765177685215,0.7750841048049777,2,34,1
35,9.522593413718388,0.8001870168656119,0,35,1
36,9.843996518968863,0.788006247259536,0,36,1
37,8.900397330866623,0.6955955361999888,0,37,1
38,8.780227208879394,0.737871073276465,0,38,1
39,9.279803771481046,0.8488637253204275,0,39,1
40,8.660494360644497,0.685392183672235,0,40,1
41,8.356769736605754,0.7100096349645691,0,41,1
0,8.62552504493434,0.7292912557892339,0,0,2
1,8.20730556536121,0.8141564334097339,0,1,2
2,8.376224607361154,0.7764653030631969,0,2,2
3,7.906121841424872,0.7351280610623385,0,3,2
4,7.650723687798685,0.7791880327106292,0,4,2
5,8.560093617422304,0.7485219849203695,0,5,2
6,8.925241672870872,0.8810553337360335,0,6,2
7,6.074058546147346,0.8276440430503702,0,7,2
8,8.820951606191125,0.7744592552338536,0,8,2
9,7.74677175683208,0.7996870776321173,0,9,2
10,7.84625269175915,0.790880458059109,0,10,2
11,6.468039764830902,0.8639476847506211,0,11,2
12,9.2236621631977,0.7656628935512549,0,12,2
13,6.6776192433583645,0.8323843503341031,0,13,2
14,7.643194484044305,0.8200305000524309,2,14,2
15,7.993619536296062,0.8536899337298897,2,15,2
16,9.167658973272157,0.7888970593944803,2,16,2
17,7.26608539974172,0.7503176954603632,2,17,2
18,9.54945360039996,0.7730374006046613,2,18,2
19,8.630158390614891,0.8055654376434419,2,19,2
20,9.084407448644033,0.7387590812567353,2,20,2
21,9.250814459010913,0.8553578193489374,0,21,2
22,9.056492449677961,0.8076307372654083,0,22,2
23,8.90550865272709,0.8372553629741526,0,23,2
24,5.8589762045110305,0.9110029060783165,0,24,2
25,8.732037417469629,0.7777630453627786,0,25,2
26,7.753090195973277,0.832361719260578,0,26,2
27,8.027939632126513,0.7061404070040439,0,27,2
28,11.184995897533593,0.8273087100093475,1,28,2
29,10.978620655388877,0.8291530149691707,1,29,2
30,12.0,0.9117352389615356,1,30,2
31,11.856936209644164,0.913726457226465,1,31,2
