,Unnamed: 0,VariableName.sleep_duration,VariableName.salt_intake,VariableName.step_count,VariableName.sleep_duration_noiseless,VariableName.salt_intake_noiseless,VariableName.step_count_noiseless,VariableName.sbp,VariableName.dbp,VariableName.sbp_noiseless,VariableName.dbp_noiseless,nudge,time,user_id,init_state_VariableName.sleep_duration,init_state_VariableName.salt_intake,init_state_VariableName.step_count,physiological_response,inertia
0,0,-0.2575762712084617,0.8189247415507985,0.2390670156950288,-0.2560053286503989,0.8148688650511298,0.2390336012467649,-1.272709459147799,0.0760570962511833,-1.2718307776668218,0.1007187091875759,0,0,108,-0.2560053286503989,0.8148688650511298,0.2390336012467649,0.8040087956363199,0.6076819466446278
4494,0,0.1971274990368478,0.6986843439048065,-0.2472958449670251,0.1953307497646209,0.699399366607664,-0.2467935577887517,-0.0591007483680238,-0.4787419505664487,-0.0588069923497556,-0.4775318295565815,0,0,163,0.1953307497646209,0.699399366607664,-0.2467935577887517,0.8030496418295773,0.6094143929168394
4452,0,0.0594098145328462,0.8593202178200147,-1.4437612777479676,0.0589255891816299,0.8637294397410108,-1.446534699563388,0.64082671995388,1.027226308638021,0.640238359472022,1.03963271215148,0,0,41,0.0589255891816299,0.8637294397410108,-1.446534699563388,0.8020974994965564,0.6011570323332709
4410,0,-0.5455897315763835,0.9186717304149388,0.6781027008197162,-0.5496559008798231,0.91428127648555,0.681594518281627,0.074038568190088,-0.818033328370636,0.0754674319809537,-0.8915423151886736,0,0,15,-0.5496559008798231,0.91428127648555,0.681594518281627,0.8073085580677016,0.6025394164259502
4368,0,-0.6504844542925157,0.7802496526481291,-0.3808860129389206,-0.6559941798838604,0.7724001997004503,-0.3820089555778202,1.1881585937447547,-0.285773861993717,1.190087847732992,-0.3529528903953949,0,0,64,-0.6559941798838604,0.7724001997004503,-0.3820089555778202,0.8021243436129405,0.6018303329207992
4326,0,0.2093940410407261,0.841994841806957,-0.9722702560005904,0.2130171674298873,0.8417048859737796,-0.9711706648243909,1.1402433921670478,0.0061661050117895,1.141053488629622,0.0850839834920726,0,0,188,0.2130171674298873,0.8417048859737796,-0.9711706648243909,0.8052917426971267,0.6054280646875281
378,0,-0.4082554128594846,0.7354917197352977,1.4309004905741984,-0.4064498385887879,0.7314931422700889,1.4261587520192662,0.1178645007952617,0.609558169077435,0.1187725509559554,0.6067301744938873,0,0,124,-0.4064498385887879,0.7314931422700889,1.4261587520192662,0.8078986950310914,0.6031726019724998
4284,0,1.12532983867368,0.7933347876440503,-1.7713517939352392,1.1250858789338471,0.7904836457235286,-1.775887999961829,0.7094067724590398,-0.4852503849151069,0.7068094060240979,-0.401283501050415,0,0,111,1.1250858789338471,0.7904836457235286,-1.775887999961829,0.8073963250117996,0.6095687056910565
4242,0,0.6012526205277763,0.5847734940992378,-0.4418692944085584,0.6057816917862516,0.5935954342125047,-0.4484650062040592,0.4525554496913476,-0.0673905351807209,0.4571171868860937,-0.0221341863677205,0,0,135,0.6057816917862516,0.5935954342125047,-0.4484650062040592,0.8052831512705736,0.6067168985761086
4200,0,-1.981175084107153,0.6406639337711107,-0.4194064206310516,-1.9755149927795648,0.647065128142956,-0.4213275873246805,0.6797516975205871,-0.0477259341468869,0.6807755361854463,-0.0871400738466183,0,0,151,-1.9755149927795648,0.647065128142956,-0.4213275873246805,0.8031546515716707,0.60599581346374
4158,0,-0.9795536649037104,0.8648020535723022,1.570306042839138,-0.9749809658136416,0.8734852210638973,1.5692596145359043,0.7611394023641097,-0.3919035238406118,0.7616320627404896,-0.3785684250458494,0,0,104,-0.9749809658136416,0.8734852210638973,1.5692596145359043,0.8074802279934328,0.6079356736804835
4116,0,-0.9323158052457204,0.9321024268048784,0.996140779338233,-0.934154008606646,0.929531065162894,0.9967596428198156,0.672037499756005,-0.4600508267868412,0.6699795223488499,-0.4816738504970714,0,0,170,-0.934154008606646,0.929531065162894,0.9967596428198156,0.8008316477180811,0.6097477442251046
